,Season,Crop,Temperature,humidity,soil moisture, area,Production
145,Rabi       ,Onion,37.0,40.0,46.0,816.0,14792.0
146,Rabi       ,Ragi,36.0,41.0,50.0,23.0,42.0
147,Rabi       ,Rapeseed &Mustard,37.0,42.0,55.0,1331.0,98.0
148,Rabi       ,Rice,36.0,40.0,54.0,12692.0,49600.0
149,Rabi       ,Sesamum,34.0,45.0,52.0,290.0,61.0
150,Rabi       ,Small millets,34.0,55.0,62.0,89.0,67.0
151,Rabi       ,Urad,35.0,50.0,59.0,165179.0,128840.0
152,Rabi       ,Varagu,25.0,55.0,55.0,89.0,67.0
153,Whole Year ,Banana,36.0,35.0,45.0,7612.0,141059.0
154,Whole Year ,Cashewnut,37.0,40.0,46.0,97.0,21.0
155,Whole Year ,Coconut ,36.0,41.0,50.0,519.0,5555550.0
156,Whole Year ,Coriander,37.0,42.0,55.0,35.0,26.0
157,Whole Year ,Sugarcane,36.0,40.0,54.0,1696.0,135426.0
158,Whole Year ,Sweet potato,34.0,45.0,52.0,90.0,2543.0
159,Whole Year ,Turmeric,35.0,50.0,59.0,4902.0,25647.0
160,Kharif     ,Arhar/Tur,25.0,55.0,55.0,39203.0,29873.0
161,Kharif     ,Bajra,36.0,35.0,45.0,77.0,76.0
162,Kharif     ,Castor seed,37.0,40.0,46.0,3400.0,1469.0
163,Kharif     ,Cotton(lint),36.0,41.0,50.0,126285.0,378112.0
164,Kharif     ,Dry chillies,37.0,42.0,55.0,51052.0,203953.0
165,Kharif     ,Groundnut,36.0,40.0,54.0,189.0,138.0
166,Kharif     ,Jowar,34.0,45.0,52.0,184.0,105.0
167,Kharif     ,Maize,34.0,55.0,62.0,2549.0,6814.0
168,Kharif     ,Moong(Green Gram),35.0,50.0,59.0,10504.0,3414.0
169,Kharif     ,Onion,25.0,55.0,55.0,693.0,9615.0
170,Kharif     ,Rice,36.0,35.0,45.0,272468.0,935110.0
171,Kharif     ,Sesamum,37.0,40.0,46.0,7695.0,1293.0
172,Kharif     ,Urad,36.0,41.0,50.0,9551.0,3448.0
173,Rabi       ,Arhar/Tur,37.0,42.0,55.0,770.0,587.0
174,Rabi       ,Bajra,36.0,40.0,54.0,43.0,43.0
175,Rabi       ,Dry chillies,34.0,45.0,52.0,515.0,1036.0
176,Rabi       ,Gram,34.0,55.0,62.0,2820.0,5285.0
177,Rabi       ,Groundnut,35.0,50.0,59.0,5092.0,12954.0
178,Rabi       ,Jowar,25.0,55.0,55.0,398.0,294.0
179,Rabi       ,Maize,36.0,35.0,45.0,4369.0,28281.0
180,Rabi       ,Moong(Green Gram),37.0,40.0,46.0,3410.0,1405.0
181,Rabi       ,Onion,36.0,41.0,50.0,883.0,11504.0
182,Rabi       ,Ragi,37.0,42.0,55.0,8.0,15.0
183,Rabi       ,Rapeseed &Mustard,36.0,40.0,54.0,1242.0,324.0
184,Rabi       ,Rice,34.0,45.0,52.0,44917.0,181060.0
185,Rabi       ,Sesamum,34.0,55.0,62.0,100.0,25.0
186,Rabi       ,Small millets,35.0,50.0,59.0,15.0,12.0
187,Rabi       ,Urad,25.0,55.0,55.0,154060.0,118164.0
188,Rabi       ,Varagu,36.0,35.0,45.0,15.0,12.0
189,Whole Year ,Banana,37.0,40.0,46.0,7967.0,204939.0
190,Whole Year ,Cashewnut,36.0,41.0,50.0,150.0,41.0
191,Whole Year ,Coconut ,37.0,42.0,55.0,491.0,5426352.0
192,Whole Year ,Coriander,36.0,40.0,54.0,115.0,89.0
193,Whole Year ,Sugarcane,34.0,45.0,52.0,1700.0,139080.0
194,Whole Year ,Sweet potato,34.0,55.0,62.0,55.0,1544.0
195,Whole Year ,Tobacco,35.0,50.0,59.0,2857.0,4480.0
196,Whole Year ,Turmeric,25.0,55.0,55.0,4266.0,22964.0
197,Kharif     ,Arhar/Tur,36.0,35.0,45.0,37456.0,19290.0
198,Kharif     ,Bajra,37.0,40.0,46.0,419.0,356.0
199,Kharif     ,Castor seed,36.0,41.0,50.0,2684.0,827.0
200,Kharif     ,Cotton(lint),37.0,42.0,55.0,98628.0,186813.0
201,Kharif     ,Dry chillies,36.0,40.0,54.0,58658.0,118606.0
202,Kharif     ,Groundnut,34.0,45.0,52.0,161.0,141.0
203,Kharif     ,Jowar,34.0,55.0,62.0,76.0,25.0
204,Kharif     ,Maize,35.0,50.0,59.0,2327.0,2255.0
205,Kharif     ,Moong(Green Gram),25.0,55.0,55.0,8146.0,978.0
206,Kharif     ,Onion,36.0,35.0,45.0,806.0,9635.0
207,Kharif     ,Rice,37.0,40.0,46.0,202953.0,646811.0
208,Kharif     ,Sesamum,36.0,41.0,50.0,6345.0,609.0
209,Kharif     ,Soyabean,37.0,42.0,55.0,2376.0,0.0
210,Kharif     ,Sunflower,36.0,40.0,54.0,44.0,48.0
211,Kharif     ,Urad,34.0,45.0,52.0,3217.0,167.0
212,Rabi       ,Arhar/Tur,34.0,55.0,62.0,1314.0,677.0
213,Rabi       ,Bajra,35.0,50.0,59.0,6.0,5.0
214,Rabi       ,Dry chillies,25.0,55.0,55.0,658.0,1094.0
215,Rabi       ,Gram,36.0,35.0,45.0,9847.0,12909.0
216,Rabi       ,Groundnut,37.0,40.0,46.0,3624.0,7802.0
217,Rabi       ,Horse-gram,36.0,41.0,50.0,9.0,3.0
218,Rabi       ,Jowar,37.0,42.0,55.0,8638.0,6928.0
219,Rabi       ,Maize,36.0,40.0,54.0,6450.0,44699.0
220,Rabi       ,Moong(Green Gram),34.0,45.0,52.0,5737.0,1624.0
221,Rabi       ,Onion,34.0,55.0,62.0,737.0,13565.0
222,Rabi       ,other oilseeds,35.0,50.0,59.0,51.0,63.0
223,Rabi       ,Ragi,25.0,55.0,55.0,5.0,7.0
224,Rabi       ,Rapeseed &Mustard,36.0,35.0,45.0,1279.0,118.0
225,Rabi       ,Rice,37.0,40.0,46.0,2716.0,7385.0
226,Rabi       ,Sesamum,36.0,41.0,50.0,83.0,15.0
227,Rabi       ,Small millets,37.0,42.0,55.0,182.0,66.0
228,Rabi       ,Urad,36.0,40.0,54.0,176210.0,116827.0
229,Whole Year ,Banana,34.0,45.0,52.0,6720.0,151697.0
230,Whole Year ,Beans & Mutter(Vegetable),34.0,55.0,62.0,466.0,2348.0
231,Whole Year ,Bhindi,35.0,50.0,59.0,1644.0,10018.0
232,Whole Year ,Bottle Gourd,25.0,55.0,55.0,316.0,0.0
233,Whole Year ,Brinjal,36.0,35.0,45.0,1169.0,23076.0
234,Whole Year ,Cabbage,37.0,40.0,46.0,162.0,0.0
235,Whole Year ,Cashewnut,36.0,41.0,50.0,150.0,19.0
236,Whole Year ,Citrus Fruit,37.0,42.0,55.0,2007.0,8914.0
237,Whole Year ,Coconut ,36.0,40.0,54.0,399.0,4488408.0
238,Whole Year ,Coriander,34.0,45.0,52.0,64.0,35.0
239,Kharif     ,Jowar,36.0,35.0,45.0,310.0,461.0
240,Kharif     ,Lemon,37.0,40.0,46.0,988.0,3824.0
241,Kharif     ,Maize,36.0,41.0,50.0,755.0,2500.0
242,Kharif     ,Mango,37.0,42.0,55.0,15820.0,191027.0
243,Kharif     ,Moong(Green Gram),36.0,40.0,54.0,483.0,324.0
244,Kharif     ,Onion,34.0,45.0,52.0,563.0,10337.0
245,Kharif     ,other oilseeds,34.0,55.0,62.0,8923.0,185768.0
246,Kharif     ,Papaya,35.0,50.0,59.0,305.0,24011.0
247,Kharif     ,Pome Granet,25.0,55.0,55.0,10.0,104.0
248,Kharif     ,Ragi,36.0,35.0,45.0,406.0,387.0
249,Kharif     ,Rice,37.0,40.0,46.0,226072.0,681833.0
250,Kharif     ,Sapota,36.0,41.0,50.0,244.0,2041.0
251,Kharif     ,Sesamum,37.0,42.0,55.0,436.0,119.0
252,Kharif     ,Small millets,36.0,40.0,54.0,469.0,260.0
253,Kharif     ,Soyabean,34.0,45.0,52.0,11.0,25.0
254,Kharif     ,Sugarcane,34.0,55.0,62.0,12405.0,1056420.0
255,Kharif     ,Tobacco,35.0,50.0,59.0,1007.0,4578.0
256,Kharif     ,Tomato,25.0,55.0,55.0,407.0,5851.0
257,Kharif     ,Turmeric,36.0,35.0,45.0,160.0,1151.0
258,Kharif     ,Urad,37.0,40.0,46.0,2605.0,2670.0
259,Rabi       ,Arhar/Tur,36.0,41.0,50.0,56.0,47.0
260,Rabi       ,Brinjal,37.0,42.0,55.0,974.0,5897.0
261,Rabi       ,Cabbage,36.0,40.0,54.0,23.0,284.0
262,Rabi       ,Cowpea(Lobia),34.0,45.0,52.0,161.0,181.0
263,Rabi       ,Dry chillies,34.0,55.0,62.0,2632.0,3201.0
264,Rabi       ,Gram,35.0,50.0,59.0,97.0,187.0
265,Rabi       ,Groundnut,25.0,55.0,55.0,338.0,1099.0
266,Rabi       ,Horse-gram,36.0,35.0,45.0,86.0,36.0
267,Rabi       ,Jowar,37.0,40.0,46.0,1776.0,1160.0
268,Rabi       ,Maize,36.0,41.0,50.0,12156.0,98257.0
269,Rabi       ,Mesta,37.0,42.0,55.0,52.0,355.0
270,Rabi       ,Moong(Green Gram),36.0,40.0,54.0,16204.0,5914.0
271,Rabi       ,Onion,34.0,45.0,52.0,15.0,265.0
272,Rabi       ,Ragi,34.0,55.0,62.0,6.0,9.0
273,Rabi       ,Rice,35.0,50.0,59.0,168045.0,881396.0
274,Rabi       ,Sesamum,25.0,55.0,55.0,3016.0,570.0
275,Rabi       ,Sunflower,36.0,35.0,45.0,379.0,365.0
276,Rabi       ,Sweet potato,37.0,40.0,46.0,33.0,364.0
277,Rabi       ,Tobacco,36.0,41.0,50.0,3010.0,13721.0
278,Rabi       ,Tomato,37.0,42.0,55.0,628.0,8509.0
279,Rabi       ,Urad,36.0,40.0,54.0,18500.0,7641.0
280,Whole Year ,Coconut ,34.0,45.0,52.0,46865.0,780162000.0
281,Whole Year ,Rice,34.0,55.0,62.0,394117.0,1563229.0
282,Kharif     ,Arhar/Tur,35.0,50.0,59.0,28400.0,14900.0
283,Kharif     ,Bajra,25.0,55.0,55.0,100.0,100.0
284,Kharif     ,Castor seed,36.0,35.0,45.0,1600.0,300.0
285,Kharif     ,Cotton(lint),37.0,40.0,46.0,162300.0,432500.0
286,Kharif     ,Dry chillies,36.0,41.0,50.0,27100.0,97300.0
287,Kharif     ,Groundnut,37.0,42.0,55.0,300.0,300.0
288,Kharif     ,Jowar,36.0,40.0,54.0,200.0,100.0
289,Kharif     ,Maize,34.0,45.0,52.0,1700.0,3100.0
290,Kharif     ,Moong(Green Gram),34.0,55.0,62.0,7400.0,2800.0
291,Kharif     ,Rice,35.0,50.0,59.0,295000.0,845300.0
292,Kharif     ,Sesamum,25.0,55.0,55.0,400.0,100.0
293,Kharif     ,Small millets,36.0,35.0,45.0,4000.0,200.0
294,Kharif     ,Sugarcane,37.0,40.0,46.0,1600.0,109600.0
295,Kharif     ,Sunflower,36.0,41.0,50.0,300.0,200.0
296,Kharif     ,Tobacco,37.0,42.0,55.0,11400.0,13200.0
297,Kharif     ,Urad,36.0,40.0,54.0,7100.0,1200.0
298,Rabi       ,Arhar/Tur,34.0,45.0,52.0,1800.0,1000.0
299,Rabi       ,Dry chillies,34.0,55.0,62.0,700.0,1300.0
300,Rabi       ,Gram,35.0,50.0,59.0,3000.0,1500.0
301,Rabi       ,Groundnut,25.0,55.0,55.0,4500.0,6500.0
302,Rabi       ,Jowar,36.0,35.0,45.0,2400.0,3500.0
303,Rabi       ,Maize,37.0,40.0,46.0,5000.0,19000.0
304,Rabi       ,Moong(Green Gram),36.0,41.0,50.0,7700.0,3100.0
305,Rabi       ,Rice,37.0,42.0,55.0,14500.0,51800.0
306,Rabi       ,Sesamum,36.0,40.0,54.0,4700.0,900.0
307,Rabi       ,Urad,34.0,45.0,52.0,153000.0,75400.0
308,Rabi       ,Varagu,34.0,55.0,62.0,400.0,300.0
309,Kharif     ,Arhar/Tur,35.0,50.0,59.0,27100.0,20700.0
310,Kharif     ,Bajra,25.0,55.0,55.0,100.0,100.0
311,Kharif     ,Castor seed,36.0,35.0,45.0,1400.0,200.0
312,Kharif     ,Cotton(lint),37.0,40.0,46.0,193600.0,120700.0
313,Kharif     ,Dry chillies,36.0,41.0,50.0,36500.0,130500.0
314,Kharif     ,Groundnut,37.0,42.0,55.0,300.0,400.0
315,Kharif     ,Jowar,36.0,40.0,54.0,600.0,200.0
316,Kharif     ,Maize,34.0,45.0,52.0,2300.0,4700.0
317,Kharif     ,Moong(Green Gram),34.0,55.0,62.0,11500.0,7200.0
318,Kharif     ,Rice,35.0,50.0,59.0,298400.0,921400.0
319,Kharif     ,Sesamum,25.0,55.0,55.0,1900.0,300.0
320,Kharif     ,Urad,36.0,35.0,45.0,3900.0,3000.0
321,Rabi       ,Arhar/Tur,37.0,40.0,46.0,200.0,200.0
322,Rabi       ,Bajra,36.0,41.0,50.0,200.0,200.0
323,Rabi       ,Dry chillies,37.0,42.0,55.0,400.0,900.0
324,Rabi       ,Gram,36.0,40.0,54.0,1400.0,2700.0
325,Rabi       ,Groundnut,34.0,45.0,52.0,5900.0,9300.0
326,Rabi       ,Jowar,34.0,55.0,62.0,800.0,1000.0
327,Rabi       ,Maize,35.0,50.0,59.0,2800.0,14100.0
328,Rabi       ,Moong(Green Gram),25.0,55.0,55.0,5000.0,2000.0
329,Rabi       ,Rice,36.0,35.0,45.0,29100.0,99900.0
330,Rabi       ,Sesamum,37.0,40.0,46.0,6000.0,2700.0
331,Rabi       ,Urad,36.0,41.0,50.0,127100.0,107400.0
332,Rabi       ,Varagu,37.0,42.0,55.0,100.0,100.0
333,Whole Year ,Sugarcane,36.0,40.0,54.0,2100.0,150300.0
334,Whole Year ,Tobacco,34.0,45.0,52.0,9900.0,13600.0
335,Kharif     ,Bajra,34.0,55.0,62.0,142.0,159.0
336,Kharif     ,Castor seed,35.0,50.0,59.0,1431.0,124.0
337,Kharif     ,Cotton(lint),25.0,55.0,55.0,139425.0,252605.0
338,Kharif     ,Groundnut,36.0,35.0,45.0,545.0,529.0
339,Kharif     ,Jowar,37.0,40.0,46.0,262.0,67.0
340,Kharif     ,Maize,36.0,41.0,50.0,3853.0,10946.0
341,Kharif     ,Masoor,37.0,42.0,55.0,36964.0,21439.0
342,Kharif     ,Moong(Green Gram),36.0,40.0,54.0,12144.0,8622.0
343,Kharif     ,Rice,34.0,45.0,52.0,302886.0,969414.0
344,Kharif     ,Sesamum,34.0,55.0,62.0,12093.0,5672.0
345,Kharif     ,Sunflower,35.0,50.0,59.0,23.0,8.0
346,Kharif     ,Urad,25.0,55.0,55.0,6146.0,3749.0
347,Rabi       ,Gram,36.0,35.0,45.0,868.0,965.0
348,Rabi       ,Groundnut,37.0,40.0,46.0,3450.0,7800.0
349,Rabi       ,Jowar,36.0,41.0,50.0,940.0,374.0
350,Rabi       ,Maize,37.0,42.0,55.0,3755.0,18178.0
351,Rabi       ,Masoor,36.0,40.0,54.0,977.0,567.0
352,Rabi       ,Moong(Green Gram),34.0,45.0,52.0,3684.0,950.0
353,Rabi       ,Ragi,34.0,55.0,62.0,10.0,17.0
354,Rabi       ,Rapeseed &Mustard,35.0,50.0,59.0,850.0,151.0
355,Rabi       ,Rice,25.0,55.0,55.0,14822.0,53167.0
356,Rabi       ,Sesamum,36.0,35.0,45.0,1545.0,355.0
357,Rabi       ,Urad,37.0,40.0,46.0,136538.0,114146.0
358,Whole Year ,Dry chillies,36.0,41.0,50.0,59256.0,111260.0
359,Whole Year ,Onion,37.0,42.0,55.0,1593.0,23110.0
360,Whole Year ,Sugarcane,36.0,40.0,54.0,2229.0,182780.0
361,Whole Year ,Tobacco,34.0,45.0,52.0,8534.0,16308.0
362,Kharif     ,Arhar/Tur,34.0,55.0,62.0,42388.0,16786.0
363,Kharif     ,Bajra,35.0,50.0,59.0,406.0,550.0
364,Kharif     ,Castor seed,25.0,55.0,55.0,3720.0,1038.0
365,Kharif     ,Cotton(lint),36.0,35.0,45.0,125251.0,252712.0
366,Kharif     ,Dry chillies,37.0,40.0,46.0,50294.0,147965.0
367,Kharif     ,Groundnut,36.0,41.0,50.0,255.0,278.0
368,Kharif     ,Jowar,37.0,42.0,55.0,181.0,67.0
369,Kharif     ,Maize,36.0,40.0,54.0,5281.0,13752.0
370,Kharif     ,Moong(Green Gram),34.0,45.0,52.0,20785.0,14612.0
371,Kharif     ,Onion,34.0,55.0,62.0,376.0,5247.0
372,Kharif     ,Rice,35.0,50.0,59.0,292899.0,987363.0
373,Kharif     ,Sesamum,25.0,55.0,55.0,16160.0,3749.0
374,Kharif     ,Urad,36.0,35.0,45.0,9324.0,550.0
375,Rabi       ,Arhar/Tur,37.0,40.0,46.0,1115.0,442.0
376,Rabi       ,Bajra,36.0,41.0,50.0,31.0,42.0
377,Rabi       ,Dry chillies,37.0,42.0,55.0,664.0,1370.0
378,Rabi       ,Gram,36.0,40.0,54.0,1452.0,3453.0
379,Rabi       ,Groundnut,34.0,45.0,52.0,3984.0,8956.0
380,Rabi       ,Horse-gram,34.0,55.0,62.0,6.0,1.0
381,Rabi       ,Jowar,35.0,50.0,59.0,718.0,626.0
382,Rabi       ,Maize,25.0,55.0,55.0,4516.0,24314.0
383,Rabi       ,Moong(Green Gram),36.0,35.0,45.0,6920.0,2318.0
384,Rabi       ,Onion,37.0,40.0,46.0,816.0,14792.0
